WHO Region,Pollutant Type,Average Value
African Region,PM2.5 (?g/m3),25.758539772205385
Eastern Mediterranean Region,PM2.5 (?g/m3),30.560934618050243
European Region,PM2.5 (?g/m3),19.584152858071462
Region of the Americas,PM2.5 (?g/m3),16.742526455818172
South East Asia Region,PM2.5 (?g/m3),27.302281949683575
Western Pacific Region,PM2.5 (?g/m3),39.01829409582541
African Region,PM10 (?g/m3),48.43774555092881
Eastern Mediterranean Region,PM10 (?g/m3),90.22750626263884
European Region,PM10 (?g/m3),24.50167260021873
Region of the Americas,PM10 (?g/m3),30.616068508926908
South East Asia Region,PM10 (?g/m3),66.71029734453518
Western Pacific Region,PM10 (?g/m3),30.860361712088206
African Region,NO2 (?g/m3),22.268882452843847
Eastern Mediterranean Region,NO2 (?g/m3),29.156391416701688
European Region,NO2 (?g/m3),20.42669821551339
Region of the Americas,NO2 (?g/m3),17.987680571800258
South East Asia Region,NO2 (?g/m3),21.920925804996052
Western Pacific Region,NO2 (?g/m3),22.076540989711074
